Timestamp,Freq,Drive_Amp,Channel,X,Y,Z
146.38345,40,0.018,0,-0.011,-0.001,0.469
146.383587,40,0.018,2,0.028,0.025,0.503
146.383666,40,0.018,4,0.003,0.512,0.004
146.384031,40,0.018,0,-0.009,-0.005,0.596
146.384165,40,0.018,2,0.044,0.03,0.642
146.384246,40,0.018,4,-0.006,0.655,0.007
146.384611,40,0.018,0,-0.01,0.004,0.736
146.384742,40,0.018,2,0.052,0.019,0.781
146.384827,40,0.018,4,-0.006,0.802,0.003
146.385191,40,0.018,0,-0.022,0.005,0.889
146.38532,40,0.018,2,0.054,0.018,0.928
146.385408,40,0.018,4,-0.006,0.951,0.008
146.385772,40,0.018,0,-0.008,-0.001,1.036
146.385897,40,0.018,2,0.043,0.024,1.083
146.385988,40,0.018,4,-0.007,1.102,0.01
146.386352,40,0.018,0,-0.013,0.009,1.196
146.386474,40,0.018,2,0.035,0.018,1.228
146.386569,40,0.018,4,-0.017,1.258,0.006
146.386932,40,0.018,0,-0.017,-0.0,1.342
146.387052,40,0.018,2,0.014,0.033,1.386
146.38715,40,0.018,4,-0.015,1.407,0.01
146.387512,40,0.018,0,-0.01,-0.004,1.479
146.38763,40,0.018,2,0.011,0.029,1.519
146.38773,40,0.018,4,-0.015,1.54,0.01
146.388093,40,0.018,0,-0.029,0.009,1.621
146.388207,40,0.018,2,0.006,0.03,1.655
146.388311,40,0.018,4,-0.021,1.67,0.005
146.388673,40,0.018,0,-0.038,-0.008,1.731
146.388785,40,0.018,2,0.003,0.041,1.786
146.388891,40,0.018,4,-0.021,1.783,0.013
146.389253,40,0.018,0,-0.036,-0.003,1.846
146.389363,40,0.018,2,-0.009,0.027,1.883
146.389472,40,0.018,4,-0.028,1.882,0.01
146.389834,40,0.018,0,-0.045,-0.001,1.937
146.38994,40,0.018,2,-0.015,0.036,1.966
146.390052,40,0.018,4,-0.033,1.965,0.008
146.390415,40,0.018,0,-0.042,-0.01,1.999
146.390518,40,0.018,2,-0.027,0.044,2.045
146.390633,40,0.018,4,-0.032,2.026,0.011
