Timestamp,Freq,Drive_Amp,Channel,X,Y,Z
289.166837,80,0.005,0,-0.019,0.002,0.959
289.167339,80,0.005,2,-0.001,0.028,0.963
289.167382,80,0.005,4,-0.004,0.924,0.009
289.167418,80,0.005,0,-0.021,-0.003,0.944
289.167917,80,0.005,2,0.002,0.031,0.958
289.167962,80,0.005,4,-0.007,0.922,0.004
289.167999,80,0.005,0,-0.021,0.001,0.938
289.168495,80,0.005,2,-0.002,0.029,0.949
289.168543,80,0.005,4,-0.004,0.923,0.008
289.168579,80,0.005,0,-0.02,-0.003,0.938
289.169072,80,0.005,2,-0.006,0.028,0.954
289.169123,80,0.005,4,-0.002,0.926,0.009
289.16916,80,0.005,0,-0.021,-0.003,0.948
289.16965,80,0.005,2,-0.013,0.028,0.969
289.169704,80,0.005,4,-0.008,0.938,0.006
289.16974,80,0.005,0,-0.021,0.008,0.958
289.170227,80,0.005,2,-0.015,0.027,0.989
289.170284,80,0.005,4,-0.007,0.957,0.012
289.170321,80,0.005,0,-0.023,0.004,0.978
289.170804,80,0.005,2,-0.011,0.028,1.007
289.170865,80,0.005,4,-0.01,0.975,0.007
289.170901,80,0.005,0,-0.027,0.004,0.992
289.171382,80,0.005,2,-0.012,0.03,1.027
289.171445,80,0.005,4,-0.007,1.002,0.007
289.171482,80,0.005,0,-0.024,0.002,1.011
289.171959,80,0.005,2,-0.008,0.026,1.054
289.172026,80,0.005,4,-0.008,1.019,0.011
289.172062,80,0.005,0,-0.024,0.005,1.038
289.172537,80,0.005,2,-0.01,0.028,1.076
289.172606,80,0.005,4,-0.01,1.039,0.01
289.172642,80,0.005,0,-0.031,-0.003,1.059
289.173114,80,0.005,2,-0.004,0.029,1.09
289.173187,80,0.005,4,-0.014,1.058,0.01
289.173223,80,0.005,0,-0.024,-0.0,1.076
289.173692,80,0.005,2,0.002,0.028,1.102
289.173767,80,0.005,4,-0.011,1.068,0.01
289.173804,80,0.005,0,-0.031,0.002,1.085
289.174269,80,0.005,2,0.004,0.024,1.108
289.174348,80,0.005,4,-0.008,1.069,0.009
289.174384,80,0.005,0,-0.025,0.003,1.095
289.174846,80,0.005,2,0.004,0.025,1.107
289.174928,80,0.005,4,-0.011,1.069,0.009
289.174965,80,0.005,0,-0.025,0.004,1.093
289.175424,80,0.005,2,0.007,0.027,1.104
289.175509,80,0.005,4,-0.011,1.058,0.009
289.175545,80,0.005,0,-0.025,0.003,1.083
289.176001,80,0.005,2,0.008,0.029,1.087
289.176089,80,0.005,4,-0.012,1.048,0.009
289.176125,80,0.005,0,-0.021,0.002,1.067
289.176579,80,0.005,2,0.013,0.026,1.077
289.17667,80,0.005,4,-0.009,1.027,0.009
289.176706,80,0.005,0,-0.015,-0.0,1.055
289.177156,80,0.005,2,0.009,0.025,1.055
289.17725,80,0.005,4,-0.009,1.008,0.01
289.177287,80,0.005,0,-0.017,-0.003,1.03
289.177734,80,0.005,2,0.013,0.031,1.032
289.177831,80,0.005,4,-0.008,0.989,0.005
289.177867,80,0.005,0,-0.013,-0.002,1.01
289.178311,80,0.005,2,0.01,0.022,1.005
289.178411,80,0.005,4,-0.005,0.965,0.007
289.178448,80,0.005,0,-0.014,-0.005,0.984
289.178888,80,0.005,2,0.004,0.026,0.986
289.178992,80,0.005,4,-0.003,0.948,0.011
289.179028,80,0.005,0,-0.019,-0.001,0.969
289.179466,80,0.005,2,0.001,0.031,0.974
289.179572,80,0.005,0,-0.017,-0.002,0.958
289.179609,80,0.005,4,-0.002,0.929,0.01
289.180043,80,0.005,2,-0.001,0.034,0.967
289.180152,80,0.005,0,-0.015,0.001,0.947
289.180189,80,0.005,4,-0.004,0.926,0.004
289.180621,80,0.005,2,-0.005,0.031,0.952
289.180732,80,0.005,0,-0.022,0.0,0.936
289.180769,80,0.005,4,-0.006,0.924,0.008
289.181198,80,0.005,2,-0.013,0.028,0.953
289.181312,80,0.005,0,-0.021,0.001,0.939
289.181349,80,0.005,4,-0.004,0.925,0.011
289.181776,80,0.005,2,-0.012,0.031,0.966
289.181892,80,0.005,0,-0.018,0.002,0.951
289.181929,80,0.005,4,-0.006,0.933,0.004
289.182353,80,0.005,2,-0.014,0.033,0.979
289.182473,80,0.005,0,-0.022,0.001,0.97
289.18251,80,0.005,4,-0.006,0.951,0.008
289.182931,80,0.005,2,-0.014,0.03,0.997
289.183053,80,0.005,0,-0.029,-0.0,0.983
289.18309,80,0.005,4,-0.011,0.967,0.012
289.183509,80,0.005,2,-0.013,0.028,1.015
289.183633,80,0.005,0,-0.028,-0.0,0.997
289.18367,80,0.005,4,-0.009,0.988,0.007
289.184086,80,0.005,2,-0.015,0.033,1.038
289.184213,80,0.005,0,-0.031,0.002,1.028
289.18425,80,0.005,4,-0.01,1.006,0.014
289.184664,80,0.005,2,-0.011,0.031,1.058
289.184793,80,0.005,0,-0.033,0.003,1.05
289.18483,80,0.005,4,-0.01,1.033,0.009
289.185241,80,0.005,2,-0.007,0.03,1.081
289.185374,80,0.005,0,-0.022,0.002,1.064
289.18541,80,0.005,4,-0.011,1.049,0.012
289.185819,80,0.005,2,-0.005,0.029,1.094
289.185954,80,0.005,0,-0.025,-0.003,1.075
289.185991,80,0.005,4,-0.012,1.064,0.01
289.186396,80,0.005,2,0.0,0.027,1.109
289.186534,80,0.005,0,-0.022,0.005,1.09
289.186571,80,0.005,4,-0.014,1.069,0.01
289.186974,80,0.005,2,0.002,0.027,1.113
289.187114,80,0.005,0,-0.019,-0.001,1.095
289.187151,80,0.005,4,-0.015,1.073,0.008
289.187551,80,0.005,2,0.002,0.026,1.108
289.187694,80,0.005,0,-0.021,0.005,1.089
289.187731,80,0.005,4,-0.014,1.067,0.011
289.188129,80,0.005,2,0.013,0.027,1.096
289.188274,80,0.005,0,-0.019,0.001,1.076
289.188311,80,0.005,4,-0.009,1.058,0.01
289.188706,80,0.005,2,0.01,0.025,1.082
289.188855,80,0.005,0,-0.021,-0.003,1.06
289.188892,80,0.005,4,-0.011,1.042,0.008
289.189284,80,0.005,2,0.015,0.027,1.061
289.189435,80,0.005,0,-0.019,-0.002,1.045
289.189472,80,0.005,4,-0.008,1.018,0.011
289.189861,80,0.005,2,0.01,0.031,1.048
289.190015,80,0.005,0,-0.015,0.002,1.019
289.190052,80,0.005,4,-0.008,0.996,0.009
289.190438,80,0.005,2,0.008,0.026,1.028
289.190595,80,0.005,0,-0.014,-0.003,1.001
289.190632,80,0.005,4,-0.008,0.974,0.01
289.191016,80,0.005,2,0.005,0.024,1.002
289.191176,80,0.005,0,-0.014,-0.005,0.974
289.191213,80,0.005,4,-0.005,0.957,0.006
289.191593,80,0.005,2,0.003,0.026,0.987
289.191756,80,0.005,0,-0.017,-0.001,0.962
289.191793,80,0.005,4,-0.006,0.944,0.007
289.192171,80,0.005,2,-0.003,0.029,0.972
289.192336,80,0.005,0,-0.016,0.001,0.949
289.192373,80,0.005,4,-0.006,0.926,0.005
289.192749,80,0.005,2,-0.0,0.031,0.961
289.192916,80,0.005,0,-0.021,-0.004,0.94
289.192953,80,0.005,4,-0.005,0.924,0.007
289.193326,80,0.005,2,-0.005,0.036,0.957
289.193496,80,0.005,0,-0.021,-0.006,0.937
289.193533,80,0.005,4,-0.004,0.924,0.008
289.193904,80,0.005,2,-0.011,0.032,0.96
289.194076,80,0.005,0,-0.025,-0.005,0.945
289.194113,80,0.005,4,-0.007,0.93,0.007
289.194481,80,0.005,2,-0.012,0.029,0.964
289.194657,80,0.005,0,-0.024,-0.002,0.961
289.194694,80,0.005,4,-0.007,0.939,0.01
289.195059,80,0.005,2,-0.009,0.032,0.986
289.195237,80,0.005,0,-0.026,-0.006,0.98
289.195274,80,0.005,4,-0.005,0.958,0.009
289.195636,80,0.005,2,-0.01,0.032,1.005
289.195817,80,0.005,0,-0.027,0.002,0.992
289.195854,80,0.005,4,-0.009,0.981,0.011
289.196214,80,0.005,2,-0.013,0.032,1.022
289.196397,80,0.005,0,-0.027,-0.002,1.018
289.196434,80,0.005,4,-0.009,1.003,0.012
289.196791,80,0.005,2,-0.01,0.032,1.046
289.196977,80,0.005,0,-0.027,0.002,1.036
289.197014,80,0.005,4,-0.013,1.025,0.007
289.197369,80,0.005,2,-0.008,0.031,1.073
289.197558,80,0.005,0,-0.025,0.0,1.063
289.197595,80,0.005,4,-0.01,1.041,0.012
289.197946,80,0.005,2,-0.006,0.026,1.09
289.198139,80,0.005,0,-0.026,-0.001,1.078
289.198176,80,0.005,4,-0.008,1.062,0.005
289.198523,80,0.005,2,-0.003,0.029,1.101
289.198719,80,0.005,0,-0.021,0.003,1.088
289.198756,80,0.005,4,-0.007,1.073,0.01
289.199101,80,0.005,2,0.001,0.027,1.109
289.199299,80,0.005,0,-0.023,0.003,1.093
289.199336,80,0.005,4,-0.007,1.074,0.011
289.199678,80,0.005,2,0.005,0.027,1.113
289.199879,80,0.005,0,-0.023,-0.0,1.101
289.199916,80,0.005,4,-0.011,1.067,0.01
289.200256,80,0.005,2,0.013,0.024,1.105
289.20046,80,0.005,0,-0.022,0.002,1.087
289.200497,80,0.005,4,-0.013,1.066,0.012
289.200833,80,0.005,2,0.011,0.022,1.097
289.20104,80,0.005,0,-0.02,0.004,1.071
289.201077,80,0.005,4,-0.009,1.051,0.009
289.201411,80,0.005,2,0.01,0.021,1.079
289.20162,80,0.005,0,-0.019,0.003,1.052
289.201657,80,0.005,4,-0.006,1.033,0.004
289.201989,80,0.005,2,0.011,0.021,1.059
289.2022,80,0.005,0,-0.015,0.001,1.039
289.202237,80,0.005,4,-0.009,1.01,0.005
289.202566,80,0.005,2,0.008,0.022,1.04
289.20278,80,0.005,0,-0.008,0.003,1.013
289.202817,80,0.005,4,-0.011,0.993,0.01
289.203143,80,0.005,2,0.006,0.025,1.013
289.203361,80,0.005,0,-0.013,0.001,0.989
289.203398,80,0.005,4,-0.006,0.97,0.007
289.203721,80,0.005,2,0.001,0.025,0.995
